fk_modelo,fk_zona,fk_empresa,timestamp,evento
1,1,1,2025-11-17 19:28:07.124045,Processo fora da whitelist morto: aggregatorhost
1,1,1,2025-11-17 19:28:07.126906,Processo fora da whitelist morto: steam
1,1,1,2025-11-17 19:28:07.129605,Processo fora da whitelist morto: mousocoreworker
1,1,1,2025-11-17 19:28:07.132725,Processo fora da whitelist morto: taskhostw
1,1,1,2025-11-17 19:28:07.135433,Processo fora da whitelist morto: taskhostw
1,1,1,2025-11-17 19:28:07.138363,Processo fora da whitelist morto: taskhostw
1,1,1,2025-11-17 19:28:07.141204,Processo fora da whitelist morto: phoneexperiencehost
1,1,1,2025-11-17 19:28:07.144121,Processo fora da whitelist morto: aswidsagent
1,1,1,2025-11-17 19:28:07.146933,Processo fora da whitelist morto: whatsapp
1,1,1,2025-11-17 19:28:07.149629,Processo fora da whitelist morto: jetbrains-toolbox
1,1,1,2025-11-17 19:28:07.152505,Processo fora da whitelist morto: esrv
1,1,1,2025-11-17 19:28:07.155379,Processo fora da whitelist morto: armourycrate.usersessionhelper
1,1,1,2025-11-17 19:28:07.158385,Processo fora da whitelist morto: onedrive.sync.service
1,1,1,2025-11-17 19:28:07.160954,Processo fora da whitelist morto: gamingservices
1,1,1,2025-11-17 19:28:07.163849,Processo fora da whitelist morto: winlogon
1,1,1,2025-11-17 19:28:07.166837,Processo fora da whitelist morto: musnotifyicon
1,1,1,2025-11-17 19:28:07.169734,Processo fora da whitelist morto: ctfmon
1,1,1,2025-11-17 19:28:07.172707,Processo fora da whitelist morto: securityhealthsystray
1,1,1,2025-11-17 19:28:07.175474,Processo fora da whitelist morto: dwm
1,1,1,2025-11-17 19:28:07.178408,Processo fora da whitelist morto: comppkgsrv
1,1,1,2025-11-17 19:28:07.181411,Processo fora da whitelist morto: shellexperiencehost
1,1,1,2025-11-17 19:28:07.184260,Processo fora da whitelist morto: aackingstondramhal_x64
1,1,1,2025-11-17 19:28:07.187374,Processo fora da whitelist morto: nissrv
1,1,1,2025-11-17 19:28:07.190287,Processo fora da whitelist morto: gamingservicesnet
1,1,1,2025-11-17 19:28:07.193261,Processo fora da whitelist morto: adobecollabsync
1,1,1,2025-11-17 19:28:07.196034,Processo fora da whitelist morto: adobecollabsync
1,1,1,2025-11-17 19:28:07.199044,Processo fora da whitelist morto: sihost
1,1,1,2025-11-17 19:28:07.202093,Processo fora da whitelist morto: applicationframehost
1,1,1,2025-11-17 19:28:07.204905,Processo fora da whitelist morto: startmenuexperiencehost
1,1,1,2025-11-17 19:28:07.207870,Processo fora da whitelist morto: atieclxx
1,1,1,2025-11-17 19:28:07.210780,Processo fora da whitelist morto: spacedeskservicetray
1,1,1,2025-11-17 19:28:07.213627,Processo fora da whitelist morto: wmiapsrv
1,1,1,2025-11-17 19:28:07.216424,Processo fora da whitelist morto: jusched
1,1,1,2025-11-17 19:28:07.219503,Processo fora da whitelist morto: useroobebroker
1,1,1,2025-11-17 19:28:07.222392,Processo fora da whitelist morto: systemsettings
1,1,1,2025-11-17 19:28:07.225346,Processo fora da whitelist morto: acrobatnotificationclient
1,1,1,2025-11-17 19:28:07.228318,Processo fora da whitelist morto: codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7
1,1,1,2025-11-17 19:28:07.229774,Erro ao registrar codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7 no log_processos: 1406 (22001): Data too long for column 'nome' at row 1
1,1,1,2025-11-17 19:28:07.230885,Processo fora da whitelist morto: codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7.tmp
1,1,1,2025-11-17 19:28:07.232242,Erro ao registrar codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7.tmp no log_processos: 1406 (22001): Data too long for column 'nome' at row 1
1,1,1,2025-11-17 19:28:18.359979,Processo fora da whitelist morto: system idle process
1,1,1,2025-11-17 19:28:18.364746,Processo fora da whitelist morto: wininit
1,1,1,2025-11-17 19:28:18.367780,Processo fora da whitelist morto: registry
1,1,1,2025-11-17 19:28:18.370798,Processo fora da whitelist morto: smss
1,1,1,2025-11-17 19:28:18.373805,Processo fora da whitelist morto: asus_framework
1,1,1,2025-11-17 19:28:18.376751,Processo fora da whitelist morto: asus_framework
1,1,1,2025-11-17 19:28:18.379875,Processo fora da whitelist morto: asus_framework
1,1,1,2025-11-17 19:28:18.382880,Processo fora da whitelist morto: csrss
1,1,1,2025-11-17 19:28:18.385835,Processo fora da whitelist morto: csrss
1,1,1,2025-11-17 19:28:18.388846,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:18.391855,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:18.394917,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:18.397926,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:18.401034,Processo fora da whitelist morto: spotify
